driveName,type,diskCapacity,diskMark,rank,price,driveValue,priceperGB,testDate,id
WDC PC SN810 SDCPNRY-1T00,SSD,953.9,48300,6,16720.0,231.1,0.22,2021,0
Samsung 980 PRO with Heatsink 2TB,SSD,1800.0,47600,9,25599.2,148.75,0.18,2021,1
Samsung 980 PRO with Heatsink 1TB,SSD,931.5,41833,29,14399.2,232.42,0.19,2021,2
MSI M480 2TB,SSD,1800.0,41506,32,26399.2,125.78,0.18,2021,3
WD BLACK SN850 2TB,SSD,1800.0,40602,37,33599.2,96.67,0.23,2020,4
Micron 3400 NVMe 1TB,SSD,953.9,39912,43,14287.2,223.48,0.19,2021,5
Samsung SSD 980 PRO 2TB,SSD,1800.0,38593,50,22301.6,138.44,0.15,2021,6
CT1000P5PSSD8,SSD,931.5,37901,55,10239.2,296.13,0.14,2021,7
MSI M480 1TB,SSD,931.5,37326,57,19919.2,149.91,0.27,2021,8
Samsung SSD 980 PRO 1TB,SSD,931.5,36990,59,16842.4,175.7,0.23,2020,9
PNY CS3040 2TB SSD,SSD,1800.0,35670,71,23920.0,119.3,0.17,2021,10
CT2000P5PSSD8,SSD,1800.0,34506,77,22960.0,120.23,0.16,2021,11
CT500P5PSSD8,SSD,465.8,34462,78,7999.2,344.65,0.21,2021,12
Corsair MP600 PRO,SSD,1800.0,33970,80,23999.2,113.24,0.17,2021,13
PNY CS3040 1TB SSD,SSD,931.5,33534,83,14079.2,190.54,0.19,2021,14
Samsung SSD 980 PRO 500GB,SSD,465.8,31863,97,9599.2,265.55,0.26,2020,15
XPG GAMMIX S70,SSD,1900.0,31451,100,21280.0,118.24,0.14,2021,16
Viper M.2 VP4100,SSD,931.5,30771,108,11199.2,219.81,0.15,2019,17
Gigabyte AORUS NVMe Gen4 M.2 2TB,SSD,1800.0,30681,109,22577.6,108.71,0.16,2019,18
Corsair Force MP600 2TB,SSD,1800.0,30557,110,21199.2,115.31,0.15,2019,19
XPG GAMMIX S50,SSD,1800.0,30168,116,22676.0,106.43,0.16,2019,20
Gigabyte AORUS NVMe Gen4 M.2 1TB,SSD,931.5,30108,117,10399.2,231.62,0.14,2019,21
Corsair Force MP600 1TB,SSD,931.5,30086,118,9999.2,240.71,0.13,2019,22
Corsair MP600 CORE,SSD,1800.0,29560,126,18399.2,128.53,0.13,2021,23
XPG GAMMIX S50,SSD,931.5,27501,145,15599.2,141.04,0.21,2019,24
WD Blue SN570 1TB,SSD,931.5,27243,152,7199.2,302.74,0.1,2021,25
INTEL SSDPEKNU020TZ,SSD,1900.0,27074,157,17599.2,123.07,0.12,2021,26
Micron 3400 NVMe 512GB,SSD,476.9,27017,159,7869.6,274.64,0.21,2021,27
Viper M.2 VPN100 1TB,SSD,953.9,26835,163,11570.4,185.54,0.15,2019,28
PNY CS3040 500GB SSD,SSD,465.8,26801,164,8799.2,243.67,0.24,2021,29
CT2000P5SSD8,SSD,1800.0,26412,172,14160.0,149.22,0.1,2020,30
WD Green SN350 1TB,SSD,931.5,26131,177,6399.2,326.68,0.09,2021,31
CT1000P5SSD8,SSD,931.5,25804,184,9280.0,222.44,0.12,2020,32
Sabrent Rocket 4,SSD,931.5,25673,187,15095.2,136.06,0.2,2020,33
Intel Optane 905P 960GB,SSD,894.3,25552,190,108941.6,18.76,1.52,2018,34
Samsung SSD 970 EVO Plus 2TB,SSD,1800.0,25499,191,39360.0,51.83,0.27,2019,35
PNY CS3030 2TB SSD,SSD,1800.0,25015,206,47998.4,41.69,0.33,2019,36
Seagate BarraCuda 510 SSD ZP1000CM30001,SSD,931.5,25013,207,10944.8,182.83,0.15,2020,37
MSI M390 500GB,SSD,465.8,24976,211,6399.2,312.24,0.17,2021,38
GIGABYTE GP-AG4500G,SSD,465.8,24897,212,7999.2,248.99,0.21,2020,39
Intel Optane 900P 480GB,SSD,447.1,24746,215,72000.0,27.5,2.01,2017,40
Samsung SSD 970 EVO Plus 1TB,SSD,931.5,24650,218,17439.2,113.08,0.23,2019,41
Samsung SSD 980 PRO 250GB,SSD,232.9,24549,222,3925.6,500.29,0.21,2020,42
Intel Optane 900P 280GB,SSD,260.8,24524,223,79600.0,24.65,3.82,2017,43
WD Black SN750 NVMe 1TB,SSD,931.5,24452,231,11999.2,163.02,0.16,2019,44
INTEL SSDPEKNU010TZ,SSD,953.9,24353,236,7199.2,270.62,0.09,2021,45
Intel Optane 905P 480GB,SSD,447.1,24076,249,61135.2,31.51,1.71,2018,46
Force MP600,SSD,465.8,24067,252,6959.2,276.66,0.19,2019,47
WDC PC SN730 SDBPNTY-1T00,SSD,953.9,24008,255,11996.0,160.11,0.16,2020,48
CT500P5SSD8,SSD,465.8,23982,257,6399.2,299.82,0.17,2020,49
NVMe WDC PC SN720 SED,SSD,953.9,23968,258,11920.0,160.86,0.16,2019,50
PNY CS2130 2TB SSD,SSD,1800.0,23841,262,17599.2,108.37,0.12,2020,51
Samsung SSD 970 PRO 1TB,SSD,953.9,23787,264,15999.2,118.94,0.21,2018,52
WD Blue SN570 500GB,SSD,465.8,23722,265,3999.2,474.53,0.11,2021,53
Corsair Force MP510 1920GB,SSD,1700.0,23580,271,19999.2,94.32,0.15,2019,54
WD Black NVMe 1TB,SSD,931.5,23499,273,13038.4,144.18,0.17,2018,55
Corsair MP400,SSD,1800.0,23339,281,29031.2,64.31,0.2,2020,56
Sabrent,SSD,3700.0,23337,282,79999.2,23.34,0.27,2020,57
PNY CS3030 1TB SSD,SSD,931.5,23021,293,10399.2,177.1,0.14,2019,58
Viper M.2 VPN100 2TB,SSD,1900.0,22782,301,15199.2,119.91,0.1,2019,59
Samsung SSD 970 PRO 512GB,SSD,476.9,22533,313,17992.0,100.19,0.47,2018,60
GIGABYTE GP-ASM2NE6500GTTD,SSD,465.8,22232,326,7621.6,233.35,0.2,2019,61
SanDisk Extreme Pro 1TB,SSD,931.5,22126,329,15199.2,116.46,0.2,2019,62
Samsung SSD 970 EVO Plus 500GB,SSD,465.8,21917,340,8799.2,199.26,0.24,2019,63
Samsung SSD 970 EVO 2TB,SSD,1800.0,21770,350,15999.2,108.86,0.11,2018,64
Samsung SSD 970 EVO 1TB,SSD,931.5,21675,354,9550.4,181.56,0.13,2018,65
INTEL SSDPEL1D380GA,SSD,354.0,21550,356,48998.4,35.18,1.73,2020,66
addlink S70 M.2 G3x4 1TB,SSD,953.9,21359,373,9990.4,171.04,0.13,2019,67
Samsung PM981 2TB NVMe,SSD,1900.0,21246,380,39999.2,42.49,0.26,2018,68
MSI M370 1TB,SSD,953.9,21245,381,11582.4,146.74,0.15,2021,69
HP SSD EX950 2TB,SSD,1800.0,21148,383,19999.2,84.6,0.14,2019,70
